PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
295957,249195794,"Southwest Airlines Co.-Baltimore, MD-Tampa, FL Total Total",Southwest Airlines Co.,"Baltimore, MD","Tampa, FL",39.2908816,-76.610759,27.9477595,-82.458444
295015,213885875,"Southwest Airlines Co.-New York, NY-Chicago, IL Total Total",Southwest Airlines Co.,"New York, NY","Chicago, IL",40.7127281,-74.0060152,41.8755616,-87.6244212
294801,131776047,"American Airlines Inc.-Dallas/Fort Worth, TX-New Orleans, LA Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","New Orleans, LA",32.8369894,-97.033926,29.9559145,-90.0730259
294577,567649879,"Delta Air Lines Inc.-Seattle, WA-Detroit, MI Total Total",Delta Air Lines Inc.,"Seattle, WA","Detroit, MI",47.6038321,-122.330062,42.3315509,-83.0466403
294262,752133672,"United Air Lines Inc.-Los Angeles, CA-Honolulu, HI Total Total",United Air Lines Inc.,"Los Angeles, CA","Honolulu, HI",34.0536909,-118.242766,21.304547,-157.855676
294120,258825600,"Delta Air Lines Inc.-Atlanta, GA-Cancun, Mexico Total Total",Delta Air Lines Inc.,"Atlanta, GA","Cancun, Mexico",33.7544657,-84.3898151,21.1527467,-86.8425761
294079,375244804,"Delta Air Lines Inc.-Phoenix, AZ-Minneapolis, MN Total Total",Delta Air Lines Inc.,"Phoenix, AZ","Minneapolis, MN",33.4484367,-112.074141,44.9772995,-93.2654692
293472,258255360,"Delta Air Lines Inc.-Cancun, Mexico-Atlanta, GA Total Total",Delta Air Lines Inc.,"Cancun, Mexico","Atlanta, GA",21.1527467,-86.8425761,33.7544657,-84.3898151
293265,69210540,"American Airlines Inc.-Los Angeles, CA-Las Vegas, NV Total Total",American Airlines Inc.,"Los Angeles, CA","Las Vegas, NV",34.0536909,-118.242766,36.1674263,-115.1484131
293209,130184796,"Delta Air Lines Inc.-Sarasota/Bradenton, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Sarasota/Bradenton, FL","Atlanta, GA",27.3959884,-82.5540742,33.7544657,-84.3898151
